*** SPRNt Results. Netlist: "m9.spt" Epoch: "1970-01-01T00:00:00Z" Reqested Tstop: 1 hr 40 min
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  45.00 5.000000e+00 9.438986e+01 1.790538e+01 7.179054e+02
2  45.00 4.142440e+00 1.209309e+02 1.458402e+01 7.179040e+02
3  45.00 3.285369e+00 5.481153e+01 1.126250e+01 7.179025e+02
4  45.00 2.694303e+00 3.946202e+01 7.940025e+00 7.179000e+02
5  45.00 2.120928e+00 1.526217e+01 4.614654e+00 7.178947e+02
6  45.00 1.901715e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  46.00 5.200000e+00 9.446442e+01 1.791790e+01 7.179179e+02
2  46.00 4.301605e+00 1.211259e+02 1.459653e+01 7.179165e+02
3  46.00 3.403428e+00 5.488602e+01 1.127500e+01 7.179150e+02
4  46.00 2.782404e+00 3.957384e+01 7.952524e+00 7.179125e+02
5  46.00 2.177652e+00 1.533177e+01 4.627038e+00 7.179071e+02
6  46.00 1.945631e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  47.00 5.400000e+00 9.454247e+01 1.793100e+01 7.179310e+02
2  47.00 4.458934e+00 1.213301e+02 1.460962e+01 7.179296e+02
3  47.00 3.518207e+00 5.496397e+01 1.128808e+01 7.179281e+02
4  47.00 2.867985e+00 3.969095e+01 7.965596e+00 7.179256e+02
5  47.00 2.234321e+00 1.540476e+01 4.639993e+00 7.179200e+02
6  47.00 1.991039e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  48.00 5.600000e+00 9.462409e+01 1.794470e+01 7.179447e+02
2  48.00 4.615530e+00 1.215439e+02 1.462331e+01 7.179433e+02
3  48.00 3.631719e+00 5.504539e+01 1.130175e+01 7.179418e+02
4  48.00 2.952754e+00 3.981322e+01 7.979223e+00 7.179392e+02
5  48.00 2.291400e+00 1.548090e+01 4.653476e+00 7.179335e+02
6  48.00 2.037611e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  49.00 5.800000e+00 9.470924e+01 1.795899e+01 7.179590e+02
2  49.00 4.772446e+00 1.217670e+02 1.463758e+01 7.179576e+02
3  49.00 3.745869e+00 5.513025e+01 1.131599e+01 7.179560e+02
4  49.00 3.038348e+00 3.994063e+01 7.993400e+00 7.179534e+02
5  49.00 2.349460e+00 1.556016e+01 4.667479e+00 7.179475e+02
6  49.00 2.085242e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  50.00 6.000000e+00 9.479783e+01 1.797386e+01 7.179739e+02
